region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Npnt,38,5.1831,78.95,False,False,1.8017,3.3814,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Npy,38,0.4435,7.89,False,False,-8.2261,8.6696,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nr2e1,38,0.0,0.0,False,False,-5.6575,5.6575,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nrgn,38,10.0618,100.0,False,False,-0.5542,10.616,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nts,38,0.3017,5.26,False,False,-3.3727,3.6744,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ntsr1,38,0.5446,10.53,False,False,-3.7273,4.2719,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nxph1,38,0.405,7.89,False,False,-11.4793,11.8843,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nxph4,38,0.1122,2.63,False,False,-6.7343,6.8465,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Oprk1,38,0.0,0.0,False,False,-5.1732,5.1732,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Oprl1,38,1.4529,26.32,False,False,-3.6174,5.0703,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Osr1,38,0.0,0.0,False,False,-0.0353,0.0353,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Otof,38,0.5498,10.53,False,False,-6.159,6.7088,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Otp,38,0.0,0.0,False,False,-8.1991,8.1991,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pamr1,38,1.8082,31.58,False,False,-3.6663,5.4745,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pax6,38,0.1349,2.63,False,False,-6.4212,6.5561,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pde1c,38,0.5202,7.89,False,False,-8.4776,8.9978,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pdyn,38,0.0,0.0,False,False,-9.1498,9.1498,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Penk,38,0.5092,10.53,False,False,-8.7186,9.2278,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pltp,38,0.8073,15.79,False,False,-0.6882,1.4955,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pnoc,38,0.2537,5.26,False,False,-7.8635,8.1172,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pomc,38,0.4462,7.89,False,False,-1.8959,2.3421,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ppp1r1b,38,4.2735,68.42,False,False,-4.532,8.8055,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Prdm12,38,0.0,0.0,False,False,-3.0553,3.0553,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Prkcd,38,0.0,0.0,False,False,-3.1662,3.1662,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Prox1,38,0.0,0.0,False,False,-8.5451,8.5451,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Prss23,38,0.0,0.0,False,False,-4.2563,4.2563,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ptprc,38,0.0,0.0,False,False,-0.6383,0.6383,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ptpru,38,3.3096,57.89,False,False,-1.7253,5.0349,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Pvalb,38,0.0,0.0,False,False,-6.7039,6.7039,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rai14,38,1.6645,31.58,False,False,-4.1002,5.7647,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rasa4,38,1.6191,28.95,False,False,-0.6959,2.315,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rbfox3,38,9.3044,100.0,False,False,0.2668,9.0376,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rbms3,38,1.3834,26.32,False,False,-8.4584,9.8418,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Reln,38,6.1253,84.21,False,False,-5.579,11.7043,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rho,38,0.1122,2.63,False,False,-0.4749,0.5871,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rhpn1,38,0.3943,7.89,False,False,-0.414,0.8083,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rnd2,38,0.2437,5.26,False,False,-5.3749,5.6186,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rorb,38,0.2987,5.26,False,False,-7.3947,7.6934,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Rprm,38,3.823,63.16,False,False,-3.9549,7.7779,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,S100b,38,0.3598,7.89,False,False,-1.1414,1.5012,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sall1,38,0.0,0.0,False,False,-3.0334,3.0334,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Satb2,38,0.0,0.0,False,False,-4.1161,4.1161,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Scn4b,38,0.0,0.0,False,False,-4.4951,4.4951,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Scnn1a,38,0.0,0.0,False,False,-0.4186,0.4186,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sema5a,38,0.9445,15.79,False,False,-8.4721,9.4166,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sfrp1,38,0.1376,2.63,False,False,-4.47,4.6076,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sim1,38,0.1354,2.63,False,False,-8.9939,9.1293,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Six3,38,0.0,0.0,False,False,-8.2337,8.2337,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Skor1,38,0.0,0.0,False,False,-3.1529,3.1529,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sla,38,1.3752,26.32,False,False,0.5261,0.8491,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc17a6,38,6.0095,89.47,False,False,-2.9502,8.9597,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc17a7,38,9.4188,100.0,False,False,0.1171,9.3017,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc17a8,38,0.0,0.0,False,False,-2.6937,2.6937,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc22a3,38,0.0,0.0,False,False,-3.0457,3.0457,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc29a4,38,0.6983,13.16,False,False,-3.1207,3.819,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc30a3,38,6.2995,89.47,False,False,-0.8621,7.1616,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc32a1,38,0.8415,15.79,False,False,-7.6136,8.4551,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc4a11,38,0.1476,2.63,False,False,-0.8555,1.0031,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slc6a1,38,2.1013,36.84,False,False,-9.3448,11.4461,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Slco2a1,38,0.0,0.0,False,False,-0.7408,0.7408,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Snap25,38,10.9138,100.0,False,False,0.2785,10.6353,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sncg,38,0.0,0.0,False,False,-4.3337,4.3337,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sox6,38,0.1452,2.63,False,False,-10.2883,10.4335,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sp8,38,0.0,0.0,False,False,-4.3072,4.3072,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sp9,38,0.1348,2.63,False,False,-6.1329,6.2677,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sst,38,1.1691,21.05,False,False,-9.9888,11.1579,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,St8sia2,38,0.1416,2.63,False,False,-4.3484,4.49,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Sulf1,38,0.2919,5.26,False,False,-4.1162,4.4081,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Syndig1l,38,1.45,28.95,False,False,-4.9326,6.3826,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Syt1,38,11.9144,100.0,False,False,-0.538,12.4524,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Syt6,38,0.0,0.0,False,False,-6.1307,6.1307,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tac1,38,0.7763,15.79,False,False,-5.8288,6.6051,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tac2,38,0.1331,2.63,False,False,-7.1157,7.2488,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tbr1,38,7.0628,97.37,False,False,-0.8312,7.894,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tcf4,38,10.771,100.0,False,False,-0.8985,11.6695,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Th,38,0.0,0.0,False,False,-2.439,2.439,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Thsd4,38,0.8197,15.79,False,False,-5.6719,6.4916,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tle4,38,1.9355,36.84,False,False,-6.9613,8.8968,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Tnfaip6,38,0.0,0.0,False,False,-1.2638,1.2638,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Trh,38,0.0,0.0,False,False,-4.2877,4.2877,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Trhr,38,0.1824,2.63,False,False,-6.5457,6.7281,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Trp73,38,0.0,0.0,False,False,-8.6274,8.6274,,,False
