region_user,subclass,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,004 L6 IT CTX Glut,Avpr1a,3372,0.004363259766250849,0.0889679715302491,39.0,37.0,76.0,36.0,-0.625213363673538,9.0,subclass,Allen_WMB_10X_computed
AId,022 L5 ET CTX Glut,Avpr1a,1134,0.004092846997082233,0.08818342151675485,38.0,35.0,73.0,36.0,-0.6254837764427066,14.0,subclass,Allen_WMB_10X_computed
AId,007 L2/3 IT CTX Glut,Avpr1a,7697,0.0040105190128088,0.07795244900610628,38.0,38.0,76.0,37.0,-0.62556610442698,12.0,subclass,Allen_WMB_10X_computed
AId,003 L5/6 IT TPE-ENT Glut,Avpr1a,1278,0.0034223285038024187,0.0782472613458529,39.0,37.0,76.0,36.0,-0.6261542949359864,10.0,subclass,Allen_WMB_10X_computed
AId,002 IT EP-CLA Glut,Avpr1a,4037,0.002449308754876256,0.04954173891503591,38.0,38.0,76.0,35.0,-0.6271273146849126,14.0,subclass,Allen_WMB_10X_computed
AId,030 L6 CT CTX Glut,Avpr1a,13072,0.002229596022516489,0.04589963280293758,38.0,37.0,75.0,37.0,-0.6273470274172723,11.0,subclass,Allen_WMB_10X_computed
AId,046 Vip Gaba,Avpr1a,3706,0.0020927025470882654,0.026983270372369132,37.0,36.0,73.0,35.0,-0.6274839208927006,9.0,subclass,Allen_WMB_10X_computed
AId,334 Microglia NN,Avpr1a,4610,0.001773682190105319,0.021691973969631236,35.0,30.0,65.0,34.0,-0.6278029412496835,8.0,subclass,Allen_WMB_10X_computed
AId,001 CLA-EPd-CTX Car3 Glut,Avpr1a,5779,0.0017624835018068552,0.03460806367883717,38.0,38.0,76.0,35.0,-0.627814139937982,11.0,subclass,Allen_WMB_10X_computed
AId,053 Sst Gaba,Avpr1a,5983,0.0016763133462518454,0.033428046130703666,38.0,37.0,75.0,35.0,-0.627900310093537,10.0,subclass,Allen_WMB_10X_computed
AId,326 OPC NN,Avpr1a,4367,0.0014325857628136873,0.02289901534234028,38.0,33.0,71.0,37.0,-0.6281440376769751,9.0,subclass,Allen_WMB_10X_computed
AId,005 L5 IT CTX Glut,Avpr1a,843,0.0,0.0,38.0,36.0,74.0,36.0,-0.6295766234397888,12.0,subclass,Allen_WMB_10X_computed
AId,027 L6b EPd Glut,Avpr1a,117,0.0,0.0,30.0,22.0,52.0,29.0,-0.6295766234397888,15.0,subclass,Allen_WMB_10X_computed
AId,029 L6b CTX Glut,Avpr1a,439,0.0,0.0,33.0,31.0,64.0,28.0,-0.6295766234397888,12.0,subclass,Allen_WMB_10X_computed
AId,036 HPF CR Glut,Avpr1a,49,0.0,0.0,19.0,11.0,30.0,19.0,-0.6295766234397888,8.0,subclass,Allen_WMB_10X_computed
AId,044 OB Dopa-Gaba,Avpr1a,46,0.0,0.0,22.0,14.0,36.0,21.0,-0.6295766234397888,9.0,subclass,Allen_WMB_10X_computed
AId,051 Pvalb chandelier Gaba,Avpr1a,285,0.0,0.0,30.0,23.0,53.0,27.0,-0.6295766234397888,11.0,subclass,Allen_WMB_10X_computed
AId,056 Sst Chodl Gaba,Avpr1a,360,0.0,0.0,37.0,33.0,70.0,33.0,-0.6295766234397888,15.0,subclass,Allen_WMB_10X_computed
AId,327 Oligo NN,Avpr1a,2656,0.0,0.0,36.0,33.0,69.0,34.0,-0.6295766234397888,8.0,subclass,Allen_WMB_10X_computed
AId,329 ABC NN,Avpr1a,38,0.0,0.0,16.0,8.0,24.0,16.0,-0.6295766234397888,8.0,subclass,Allen_WMB_10X_computed
AId,330 VLMC NN,Avpr1a,291,0.0,0.0,28.0,15.0,43.0,28.0,-0.6295766234397888,8.0,subclass,Allen_WMB_10X_computed
AId,331 Peri NN,Avpr1a,673,0.0,0.0,29.0,19.0,48.0,29.0,-0.6295766234397888,9.0,subclass,Allen_WMB_10X_computed
AId,332 SMC NN,Avpr1a,333,0.0,0.0,25.0,21.0,46.0,25.0,-0.6295766234397888,10.0,subclass,Allen_WMB_10X_computed
AId,333 Endo NN,Avpr1a,2903,0.0,0.0,36.0,29.0,65.0,35.0,-0.6295766234397888,8.0,subclass,Allen_WMB_10X_computed
AId,022 L5 ET CTX Glut,Avpr1b,1134,0.009783666580915451,0.1763668430335097,36.0,34.0,70.0,34.0,0.0008385498076677322,4.0,subclass,Allen_WMB_10X_computed
AId,005 L5 IT CTX Glut,Avpr1b,843,0.008945116773247719,0.2372479240806643,37.0,35.0,72.0,35.0,-0.0008385498076677322,2.0,subclass,Allen_WMB_10X_computed
AId,003 L5/6 IT TPE-ENT Glut,Avpr1b,1278,0.008563084527850151,0.1564945226917058,37.0,36.0,73.0,34.0,-0.0012205820530653,1.0,subclass,Allen_WMB_10X_computed
AId,004 L6 IT CTX Glut,Avpr1b,3372,0.004390452988445759,0.0889679715302491,38.0,37.0,75.0,35.0,-0.005393213592469692,1.0,subclass,Allen_WMB_10X_computed
AId,326 OPC NN,Avpr1b,4367,0.001470434945076704,0.02289901534234028,37.0,33.0,70.0,36.0,-0.008313231635838747,2.0,subclass,Allen_WMB_10X_computed
AId,002 IT EP-CLA Glut,Avpr1b,4037,0.0012163497740402818,0.024770869457517955,39.0,39.0,78.0,36.0,-0.00856731680687517,3.0,subclass,Allen_WMB_10X_computed
AId,007 L2/3 IT CTX Glut,Avpr1b,7697,0.0010945271933451295,0.025984149668702092,39.0,39.0,78.0,38.0,-0.008689139387570322,2.0,subclass,Allen_WMB_10X_computed
AId,006 L4/5 IT CTX Glut,Avpr1b,12177,0.0009692407911643386,0.02463661000246366,39.0,39.0,78.0,29.0,-0.008814425789751112,2.0,subclass,Allen_WMB_10X_computed
AId,030 L6 CT CTX Glut,Avpr1b,13072,0.00044087832793593407,0.007649938800489595,39.0,38.0,77.0,38.0,-0.009342788252979517,1.0,subclass,Allen_WMB_10X_computed
AId,001 CLA-EPd-CTX Car3 Glut,Avpr1b,5779,0.0,0.0,39.0,39.0,78.0,36.0,-0.009783666580915451,4.0,subclass,Allen_WMB_10X_computed
AId,009 L2/3 IT PIR-ENTl Glut,Avpr1b,816,0.0,0.0,39.0,33.0,72.0,39.0,-0.009783666580915451,1.0,subclass,Allen_WMB_10X_computed
AId,027 L6b EPd Glut,Avpr1b,117,0.0,0.0,30.0,22.0,52.0,29.0,-0.009783666580915451,7.0,subclass,Allen_WMB_10X_computed
