region_user,subclass_A_positive,subclass_B_negative,same_cell_type_label,separator_gene,mean_log2_A,mean_log2_B,pct_A,pct_B,log2_gap
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Ccn2,5.978,0.047,72.4,0.9,5.931
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Rai14,6.077,0.152,83.6,3.0,5.925
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Cplx3,5.973,0.187,67.7,3.7,5.787
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Thsd7b,5.892,0.533,70.8,9.8,5.36
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Nxph4,5.12,0.068,68.3,1.4,5.053
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Drd1,4.696,0.277,73.8,5.4,4.418
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Foxp2,4.556,0.167,62.4,3.2,4.389
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Fezf2,4.12,0.081,65.8,1.6,4.039
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Syt6,2.976,0.082,45.6,1.5,2.894
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Cacng5,2.372,0.21,39.9,4.0,2.162
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Deptor,2.632,0.706,43.3,13.7,1.926
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Sema5a,7.233,0.34,92.3,6.8,6.893
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Rai14,6.077,0.162,83.6,3.4,5.915
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Cplx3,5.973,0.085,67.7,1.9,5.889
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Ccn2,5.978,0.107,72.4,2.3,5.871
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Sulf1,6.053,0.352,82.9,7.4,5.701
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Thsd7b,5.892,0.449,70.8,9.2,5.443
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Sema5b,5.482,0.255,76.5,5.3,5.228
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Nxph4,5.12,0.026,68.3,0.5,5.094
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Drd1,4.696,0.06,73.8,1.1,4.635
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Gfra1,3.963,0.434,60.8,9.1,3.528
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Syt6,2.976,0.264,45.6,5.1,2.712
AId,029 L6b CTX Glut,022 L5 ET CTX Glut,True,Cacng5,2.372,0.043,39.9,0.9,2.329
AId,029 L6b CTX Glut,030 L6 CT CTX Glut,True,Cplx3,5.973,0.231,67.7,3.8,5.742
AId,029 L6b CTX Glut,030 L6 CT CTX Glut,True,Ccn2,5.978,0.347,72.4,5.9,5.631
AId,029 L6b CTX Glut,030 L6 CT CTX Glut,True,Nxph4,5.12,0.212,68.3,3.7,4.908
AId,029 L6b CTX Glut,030 L6 CT CTX Glut,True,Cacng5,2.372,0.565,39.9,9.8,1.807
AId,029 L6b CTX Glut,030 L6 CT CTX Glut,True,Moxd1,1.823,0.059,28.7,1.1,1.764
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Sulf1,6.053,0.276,82.9,4.4,5.777
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Cplx3,5.973,0.273,67.7,4.1,5.7
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Thsd7b,5.892,0.382,70.8,6.0,5.511
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Nxph4,5.12,0.04,68.3,0.7,5.08
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Nr4a2,4.593,0.331,63.3,5.3,4.263
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Gfra1,3.963,0.167,60.8,2.8,3.796
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Ppp1r1b,4.408,0.854,65.2,13.7,3.555
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Syt6,2.976,0.255,45.6,4.0,2.721
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Sla,2.457,0.096,39.9,1.6,2.361
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Ntsr1,1.873,0.041,33.9,0.7,1.832
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Moxd1,1.823,0.046,28.7,0.7,1.777
AId,029 L6b CTX Glut,032 L5 NP CTX Glut,True,Deptor,2.632,0.86,43.3,14.1,1.772
AId,029 L6b CTX Glut,046 Vip Gaba,False,Satb2,8.331,0.285,99.1,4.6,8.046
AId,029 L6b CTX Glut,046 Vip Gaba,False,Mpped1,8.76,0.831,98.6,12.7,7.929
AId,029 L6b CTX Glut,046 Vip Gaba,False,Tbr1,7.518,0.376,97.5,5.8,7.142
AId,029 L6b CTX Glut,046 Vip Gaba,False,Sulf1,6.053,0.097,82.9,1.5,5.957
AId,029 L6b CTX Glut,046 Vip Gaba,False,Ccn2,5.978,0.146,72.4,2.4,5.832
AId,029 L6b CTX Glut,046 Vip Gaba,False,Rai14,6.077,0.249,83.6,3.8,5.828
AId,029 L6b CTX Glut,046 Vip Gaba,False,Spon1,5.648,0.27,69.7,4.2,5.378
AId,029 L6b CTX Glut,046 Vip Gaba,False,Cplx3,5.973,0.675,67.7,10.2,5.299
AId,029 L6b CTX Glut,046 Vip Gaba,False,Nxph4,5.12,0.064,68.3,1.0,5.056
AId,029 L6b CTX Glut,046 Vip Gaba,False,Foxp2,4.556,0.209,62.4,3.2,4.346
AId,029 L6b CTX Glut,046 Vip Gaba,False,Drd1,4.696,0.373,73.8,5.8,4.322
AId,029 L6b CTX Glut,046 Vip Gaba,False,Ppp1r1b,4.408,0.165,65.2,2.6,4.244
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Satb2,8.331,0.346,99.1,5.8,7.985
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Tbr1,7.518,0.432,97.5,7.2,7.085
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Rai14,6.077,0.124,83.6,2.1,5.954
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Sulf1,6.053,0.145,82.9,2.5,5.908
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Ccn2,5.978,0.083,72.4,1.5,5.895
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Spon1,5.648,0.324,69.7,5.6,5.324
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Sema5b,5.482,0.235,76.5,4.1,5.248
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Nxph4,5.12,0.043,68.3,0.8,5.078
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Foxp2,4.556,0.158,62.4,2.7,4.398
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Drd1,4.696,0.514,73.8,8.8,4.182
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Fezf2,4.12,0.104,65.8,1.8,4.016
AId,029 L6b CTX Glut,049 Lamp5 Gaba,False,Ppp1r1b,4.408,0.461,65.2,7.8,3.947
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Satb2,8.331,0.345,99.1,5.8,7.986
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Tbr1,7.518,0.445,97.5,7.5,7.073
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Rai14,6.077,0.11,83.6,1.9,5.967
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Cplx3,5.973,0.061,67.7,1.1,5.913
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Sulf1,6.053,0.144,82.9,2.5,5.91
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Ccn2,5.978,0.127,72.4,2.4,5.851
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Thsd7b,5.892,0.46,70.8,7.5,5.432
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Nxph4,5.12,0.028,68.3,0.5,5.092
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Sema5b,5.482,0.523,76.5,8.9,4.959
AId,029 L6b CTX Glut,052 Pvalb Gaba,False,Spon1,5.648,1.046,69.7,14.8,4.602
