gene,priority,block,primary_category,regions,is_transgene,in_base_panel,needs_addon_slot
Slc17a8,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Slc32a1,2,4_IEG_reporter_backbone,class_backbone,BMAp+ORBm,False,False,True
Slc5a7,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Slc6a1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Sox1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Sstr2,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Sulf1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Tac1,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp+ORBm,False,False,True
Tac2,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Tacr3,2,3_GPCR_broad_or_shared_marker,GPCR_intermediate,BMAp,False,False,True
Tbr1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Tcf4,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Thsd7b,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Trh,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Tshz1,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp,False,False,True
Zfhx3,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Zfp804b,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Egr2,3,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Homer1,3,4_IEG_reporter_backbone,IEG_delayed,BMAp+ORBm,False,False,True
Jun,3,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Scg2,3,4_IEG_reporter_backbone,IEG_delayed,BMAp+ORBm,False,False,True
Snap25,3,4_IEG_reporter_backbone,class_backbone,BMAp+ORBm,False,False,True
WPRE,3,4_IEG_reporter_backbone,reporter_transgene,BMAp+ORBm,True,False,True
