gene,best_subclass,best_subclass_pct,gap_vs_median_subclass_pp,n_subclasses_ge50,n_subclasses,best_anchor,best_anchor_pct,n_anchors_ge50,n_anchors,pct_all_cells
Maml3,026 NLOT Rho Glut,100.0,34.0,56,75,005 L5 IT CTX Glut,81.2,15,20,54.8
Mapk4,013 COAp Grxcr2 Glut,100.0,35.5,51,75,007 L2/3 IT CTX Glut,90.9,12,20,54.8
Mas1,013 COAp Grxcr2 Glut,90.0,88.7,2,75,022 L5 ET CTX Glut,44.8,0,20,8.3
Matn2,026 NLOT Rho Glut,95.1,79.7,8,75,007 L2/3 IT CTX Glut,68.4,3,20,23.7
Mbnl2,013 COAp Grxcr2 Glut,100.0,1.6,73,75,012 MEA Slc17a7 Glut,99.8,20,20,94.4
Mbp,327 Oligo NN,99.5,38.4,44,75,113 MEA-COA-BMA Ccdc42 Glut,90.2,12,20,59.2
Mc4r,026 NLOT Rho Glut,62.6,59.8,1,75,120 MEA Otp Foxp2 Glut,38.5,0,20,4.3
Mchr1,022 L5 ET CTX Glut,32.0,20.5,0,75,022 L5 ET CTX Glut,32.0,0,20,8.9
Mdga1,120 MEA Otp Foxp2 Glut,82.0,70.8,10,75,120 MEA Otp Foxp2 Glut,82.0,2,20,16.0
Mecom,333 Endo NN,93.0,92.4,1,75,119 SI-MA-LPO-LHA Skor1 Glut,1.2,0,20,2.4
Meis2,078 SI-MA-ACB Ebf1 Bnc2 Gaba,100.0,66.8,36,75,007 L2/3 IT CTX Glut,99.0,9,20,58.2
Mgp,332 SMC NN,81.8,81.3,2,75,012 MEA Slc17a7 Glut,15.8,0,20,3.2
Mpped1,029 L6b CTX Glut,99.6,52.9,36,75,029 L6b CTX Glut,99.6,14,20,52.4
Myl4,032 L5 NP CTX Glut,92.4,88.4,2,75,032 L5 NP CTX Glut,92.4,2,20,13.9
Myo16,041 OB-in Frmd7 Gaba,98.4,37.8,51,75,012 MEA Slc17a7 Glut,87.7,17,20,45.2
Ndnf,036 HPF CR Glut,99.1,97.5,6,75,049 Lamp5 Gaba,54.5,1,20,4.4
Ndst3,022 L5 ET CTX Glut,99.0,41.6,44,75,022 L5 ET CTX Glut,99.0,13,20,44.8
Ndst4,056 Sst Chodl Gaba,93.5,79.2,10,75,119 SI-MA-LPO-LHA Skor1 Glut,75.0,1,20,12.3
Necab1,047 Sncg Gaba,99.0,50.2,37,75,082 CEA-BST Ebf1 Pdyn Gaba,94.2,13,20,48.5
Necab2,013 COAp Grxcr2 Glut,95.0,55.1,34,75,113 MEA-COA-BMA Ccdc42 Glut,87.8,8,20,32.8
Nell1,077 CEA-BST Gal Avp Gaba,100.0,40.3,44,75,113 MEA-COA-BMA Ccdc42 Glut,87.0,12,20,37.9
Neto2,026 NLOT Rho Glut,99.7,28.7,53,75,032 L5 NP CTX Glut,98.3,17,20,56.0
Neurod2,026 NLOT Rho Glut,98.6,97.0,16,75,029 L6b CTX Glut,95.0,9,20,32.1
Neurod6,005 L5 IT CTX Glut,96.9,95.5,13,75,005 L5 IT CTX Glut,96.9,8,20,29.0
Nfib,013 COAp Grxcr2 Glut,100.0,56.2,36,75,022 L5 ET CTX Glut,100.0,11,20,65.5
Nos1,120 MEA Otp Foxp2 Glut,99.7,65.7,27,75,120 MEA Otp Foxp2 Glut,99.7,9,20,31.8
Nostrin,333 Endo NN,85.7,84.3,1,75,053 Sst Gaba,4.1,0,20,3.1
Npas4,013 COAp Grxcr2 Glut,45.0,34.9,0,75,006 L4/5 IT CTX Glut,34.2,0,20,12.6
Npnt,058 PAL-STR Gaba-Chol,60.0,55.2,1,75,119 SI-MA-LPO-LHA Skor1 Glut,33.7,0,20,9.3
Npr3,022 L5 ET CTX Glut,70.8,68.7,3,75,022 L5 ET CTX Glut,70.8,2,20,8.7
Nptx2,013 COAp Grxcr2 Glut,95.0,87.7,7,75,004 L6 IT CTX Glut,64.3,1,20,19.0
Npy,056 Sst Chodl Gaba,92.0,84.1,6,75,049 Lamp5 Gaba,88.0,2,20,14.3
Npy1r,026 NLOT Rho Glut,85.0,62.7,15,75,120 MEA Otp Foxp2 Glut,68.2,8,20,26.9
Npy2r,012 MEA Slc17a7 Glut,75.7,65.4,6,75,012 MEA Slc17a7 Glut,75.7,1,20,13.0
Nr2e1,075 MEA-BST Lhx6 Nr2e1 Gaba,84.0,83.3,4,75,074 MEA-BST Lhx6 Sp9 Gaba,58.6,1,20,10.6
Nr2f2,026 NLOT Rho Glut,100.0,60.6,34,75,119 SI-MA-LPO-LHA Skor1 Glut,99.4,9,20,38.2
Nr4a1,006 L4/5 IT CTX Glut,86.0,55.1,17,75,006 L4/5 IT CTX Glut,86.0,7,20,38.6
Nr4a2,001 CLA-EPd-CTX Car3 Glut,100.0,96.6,5,75,029 L6b CTX Glut,57.7,1,20,13.3
Nr4a3,013 COAp Grxcr2 Glut,80.0,67.0,6,75,004 L6 IT CTX Glut,63.4,4,20,23.3
Nrep,057 NDB-SI-MA-STRv Lhx8 Gaba,71.1,32.8,22,75,052 Pvalb Gaba,68.6,7,20,32.7
Nrn1,013 COAp Grxcr2 Glut,100.0,94.5,24,75,006 L4/5 IT CTX Glut,99.7,12,20,39.1
Nrp2,013 COAp Grxcr2 Glut,100.0,33.1,46,75,012 MEA Slc17a7 Glut,98.6,11,20,52.5
Ntrk2,013 COAp Grxcr2 Glut,100.0,0.5,67,75,006 L4/5 IT CTX Glut,99.9,20,20,89.8
Nts,066 NDB-SI-ant Prdm12 Gaba,48.1,45.6,0,75,120 MEA Otp Foxp2 Glut,34.1,0,20,4.6
Ntsr1,059 GPe-SI Sox6 Cyp26b1 Gaba,71.5,64.2,4,75,012 MEA Slc17a7 Glut,35.0,0,20,10.9
Ntsr2,318 Astro-NT NN,99.1,95.6,2,75,005 L5 IT CTX Glut,8.5,0,20,15.5
Nwd2,007 L2/3 IT CTX Glut,96.7,54.5,30,75,007 L2/3 IT CTX Glut,96.7,14,20,45.2
Nxph3,029 L6b CTX Glut,98.6,93.4,3,75,029 L6b CTX Glut,98.6,3,20,17.2
Nxph4,114 COAa-PAA-MEA Barhl2 Glut,86.5,84.8,3,75,029 L6b CTX Glut,65.4,2,20,5.1
Omg,048 RHP-COA Ndnf Gaba,75.4,21.0,46,75,029 L6b CTX Glut,67.3,15,20,50.2
Opalin,327 Oligo NN,79.3,78.5,1,75,004 L6 IT CTX Glut,1.7,0,20,5.4
Opn3,055 STR Lhx8 Gaba,77.7,72.1,1,75,006 L4/5 IT CTX Glut,33.4,0,20,7.8
Oprd1,051 Pvalb chandelier Gaba,68.7,60.2,4,75,052 Pvalb Gaba,68.1,1,20,14.5
Oprk1,001 CLA-EPd-CTX Car3 Glut,90.2,83.1,2,75,119 SI-MA-LPO-LHA Skor1 Glut,39.3,0,20,10.8
Oprl1,088 BST Tac2 Gaba,79.0,40.3,34,75,120 MEA Otp Foxp2 Glut,77.8,9,20,34.7
Oprm1,084 BST-SI-AAA Six3 Slc22a3 Gaba,95.0,39.2,43,75,120 MEA Otp Foxp2 Glut,91.6,14,20,45.2
Orai2,026 NLOT Rho Glut,88.1,37.5,39,75,082 CEA-BST Ebf1 Pdyn Gaba,76.8,14,20,41.0
Otof,064 STR-PAL Chst9 Gaba,88.0,80.3,14,75,120 MEA Otp Foxp2 Glut,71.5,4,20,18.3
Otp,133 PVH-SO-PVa Otp Glut,98.5,97.6,4,75,120 MEA Otp Foxp2 Glut,97.9,2,20,3.5
Oxtr,059 GPe-SI Sox6 Cyp26b1 Gaba,76.3,69.2,3,75,012 MEA Slc17a7 Glut,58.2,1,20,8.3
Paqr5,333 Endo NN,74.2,73.0,1,75,053 Sst Gaba,11.5,0,20,3.1
Parm1,133 PVH-SO-PVa Otp Glut,100.0,46.4,40,75,049 Lamp5 Gaba,96.2,10,20,39.7
Pcsk1,133 PVH-SO-PVa Otp Glut,99.3,68.6,15,75,029 L6b CTX Glut,67.4,7,20,30.3
Pcsk5,026 NLOT Rho Glut,95.8,66.1,23,75,022 L5 ET CTX Glut,92.3,11,20,38.2
Pde11a,083 CEA-BST Rai14 Pdyn Crh Gaba,97.2,90.2,8,75,049 Lamp5 Gaba,75.7,2,20,9.0
Pde7b,061 STR D1 Gaba,99.5,43.6,42,75,082 CEA-BST Ebf1 Pdyn Gaba,87.6,11,20,54.0
Pdgfra,326 OPC NN,99.9,98.7,2,75,046 Vip Gaba,4.3,0,20,6.1
Pdyn,133 PVH-SO-PVa Otp Glut,98.5,94.2,7,75,082 CEA-BST Ebf1 Pdyn Gaba,63.0,1,20,11.5
Pdzd2,036 HPF CR Glut,96.9,45.0,40,75,022 L5 ET CTX Glut,95.7,15,20,52.8
Pdzrn3,006 L4/5 IT CTX Glut,94.9,87.6,12,75,006 L4/5 IT CTX Glut,94.9,8,20,23.8
Pecam1,333 Endo NN,93.2,90.2,1,75,074 MEA-BST Lhx6 Sp9 Gaba,9.4,0,20,5.7
Penk,062 STR D2 Gaba,96.0,81.4,10,75,113 MEA-COA-BMA Ccdc42 Glut,75.7,2,20,19.1
Per1,013 COAp Grxcr2 Glut,65.0,29.1,6,75,006 L4/5 IT CTX Glut,63.2,4,20,37.0
Per2,013 COAp Grxcr2 Glut,68.3,36.0,6,75,006 L4/5 IT CTX Glut,60.9,3,20,35.1
Pglyrp1,333 Endo NN,79.5,75.8,1,75,119 SI-MA-LPO-LHA Skor1 Glut,11.3,0,20,5.1
Pip5k1b,049 Lamp5 Gaba,98.1,23.8,50,75,012 MEA Slc17a7 Glut,98.1,16,20,53.1
Pkib,012 MEA Slc17a7 Glut,89.3,52.4,17,75,012 MEA Slc17a7 Glut,89.3,6,20,28.1
Plch1,026 NLOT Rho Glut,96.5,86.5,4,75,052 Pvalb Gaba,33.3,0,20,12.8
Plcxd2,078 SI-MA-ACB Ebf1 Bnc2 Gaba,88.2,34.3,41,75,032 L5 NP CTX Glut,87.9,12,20,37.4
Plcxd3,051 Pvalb chandelier Gaba,99.6,40.5,42,75,032 L5 NP CTX Glut,94.6,12,20,39.9
Pld5,026 NLOT Rho Glut,100.0,63.0,25,75,049 Lamp5 Gaba,90.4,5,20,26.9
Plekha2,010 IT AON-TT-DP Glut,61.1,57.3,6,75,004 L6 IT CTX Glut,50.9,1,20,14.0
Pln,332 SMC NN,85.9,84.9,1,75,032 L5 NP CTX Glut,15.4,0,20,2.1
Pnoc,077 CEA-BST Gal Avp Gaba,95.4,89.8,6,75,049 Lamp5 Gaba,81.4,1,20,10.9
Pou3f1,026 NLOT Rho Glut,99.3,97.1,8,75,022 L5 ET CTX Glut,92.1,1,20,15.3
Ppp1r1b,061 STR D1 Gaba,99.8,91.6,9,75,030 L6 CT CTX Glut,73.3,2,20,22.6
Prdm8,026 NLOT Rho Glut,97.2,94.4,5,75,012 MEA Slc17a7 Glut,90.9,2,20,12.3
Prox1,037 DG Glut,99.2,96.5,9,75,046 Vip Gaba,89.3,3,20,16.5
Prph,029 L6b CTX Glut,7.7,7.3,0,75,029 L6b CTX Glut,7.7,0,20,1.0
Prr16,077 CEA-BST Gal Avp Gaba,97.9,44.1,44,75,006 L4/5 IT CTX Glut,94.6,17,20,53.2
Prss35,030 L6 CT CTX Glut,55.9,53.8,1,75,030 L6 CT CTX Glut,55.9,1,20,9.0
Pthlh,051 Pvalb chandelier Gaba,95.1,94.3,1,75,046 Vip Gaba,45.6,0,20,2.3
Ptpru,001 CLA-EPd-CTX Car3 Glut,91.5,65.5,15,75,119 SI-MA-LPO-LHA Skor1 Glut,77.7,4,20,29.7
Pvalb,052 Pvalb Gaba,70.8,70.0,2,75,052 Pvalb Gaba,71.3,1,20,2.6
Rab3b,053 Sst Gaba,98.8,69.8,21,75,053 Sst Gaba,98.8,6,20,27.2
Rai14,029 L6b CTX Glut,86.5,82.1,8,75,029 L6b CTX Glut,86.5,3,20,18.4
Rasa4,335 BAM NN,50.5,47.6,1,75,119 SI-MA-LPO-LHA Skor1 Glut,20.3,0,20,4.7
Rasgrf2,133 PVH-SO-PVa Otp Glut,99.3,24.9,48,75,049 Lamp5 Gaba,96.4,15,20,49.9
Rasl10a,007 L2/3 IT CTX Glut,95.6,86.3,12,75,007 L2/3 IT CTX Glut,95.6,5,20,27.3
Rbfox3,001 CLA-EPd-CTX Car3 Glut,100.0,2.0,61,75,012 MEA Slc17a7 Glut,99.5,20,20,73.1
Rbms3,013 COAp Grxcr2 Glut,100.0,11.0,55,75,120 MEA Otp Foxp2 Glut,99.5,14,20,57.3
Rbp4,053 Sst Gaba,87.8,84.9,2,75,053 Sst Gaba,89.7,2,20,10.0
Rfx4,319 Astro-TE NN,91.5,87.5,3,75,082 CEA-BST Ebf1 Pdyn Gaba,7.9,0,20,15.8
Rgs4,055 STR Lhx8 Gaba,100.0,24.6,55,75,006 L4/5 IT CTX Glut,99.3,18,20,58.8
Rgs9,063 STR D1 Sema5a Gaba,93.5,52.4,27,75,082 CEA-BST Ebf1 Pdyn Gaba,80.5,6,20,35.5
Rims3,058 PAL-STR Gaba-Chol,98.1,24.4,48,75,119 SI-MA-LPO-LHA Skor1 Glut,93.7,15,20,49.3
Rmst,133 PVH-SO-PVa Otp Glut,100.0,60.3,33,75,120 MEA Otp Foxp2 Glut,99.9,10,20,41.6
Rnf152,032 L5 NP CTX Glut,94.6,73.6,16,75,032 L5 NP CTX Glut,94.6,5,20,25.6
Ror1,330 VLMC NN,91.6,85.3,4,75,012 MEA Slc17a7 Glut,24.0,0,20,8.4
Rorb,319 Astro-TE NN,99.5,87.9,10,75,006 L4/5 IT CTX Glut,96.4,3,20,31.9
Rprm,026 NLOT Rho Glut,99.7,82.4,13,75,030 L6 CT CTX Glut,91.3,6,20,32.0
Rspo1,077 CEA-BST Gal Avp Gaba,92.8,90.8,3,75,113 MEA-COA-BMA Ccdc42 Glut,57.5,1,20,10.1
Rspo2,003 L5/6 IT TPE-ENT Glut,89.2,86.6,7,75,004 L6 IT CTX Glut,88.1,4,20,19.7
Rxfp1,001 CLA-EPd-CTX Car3 Glut,92.0,90.6,2,75,022 L5 ET CTX Glut,34.1,0,20,9.2
S1pr3,331 Peri NN,84.6,77.0,3,75,006 L4/5 IT CTX Glut,24.3,0,20,9.2
Satb2,005 L5 IT CTX Glut,98.8,95.7,12,75,005 L5 IT CTX Glut,98.8,8,20,32.0
Scn5a,083 CEA-BST Rai14 Pdyn Crh Gaba,94.9,79.6,21,75,074 MEA-BST Lhx6 Sp9 Gaba,90.2,6,20,22.4
Sdk2,029 L6b CTX Glut,99.0,49.2,37,75,029 L6b CTX Glut,99.0,13,20,48.6
Sema3a,120 MEA Otp Foxp2 Glut,97.5,68.0,25,75,120 MEA Otp Foxp2 Glut,97.5,10,20,33.5
Sema3d,326 OPC NN,90.8,87.5,1,75,120 MEA Otp Foxp2 Glut,37.2,0,20,11.1
Sema3e,002 IT EP-CLA Glut,93.3,78.3,12,75,004 L6 IT CTX Glut,88.9,6,20,25.2
Sema5a,113 MEA-COA-BMA Ccdc42 Glut,95.7,46.9,37,75,113 MEA-COA-BMA Ccdc42 Glut,95.7,12,20,43.5
Sema5b,063 STR D1 Sema5a Gaba,94.3,81.7,14,75,029 L6b CTX Glut,75.9,6,20,27.1
Sema6a,048 RHP-COA Ndnf Gaba,97.8,46.1,40,75,121 MEA-BST Otp Zic2 Glut,95.4,13,20,46.6
Sfrp1,056 Sst Chodl Gaba,71.7,69.7,2,75,049 Lamp5 Gaba,21.1,0,20,4.6
Shisa6,026 NLOT Rho Glut,99.0,66.8,21,75,046 Vip Gaba,89.8,5,20,30.3
Siglech,334 Microglia NN,98.2,98.0,2,75,052 Pvalb Gaba,0.5,0,20,4.2
Sim1,026 NLOT Rho Glut,100.0,99.9,4,75,121 MEA-BST Otp Zic2 Glut,88.0,1,20,2.0
Sipa1l3,058 PAL-STR Gaba-Chol,86.9,20.3,53,75,012 MEA Slc17a7 Glut,78.5,13,20,51.4
Skor1,119 SI-MA-LPO-LHA Skor1 Glut,53.6,53.5,1,75,119 SI-MA-LPO-LHA Skor1 Glut,53.6,1,20,0.7
Sla,030 L6 CT CTX Glut,68.1,67.1,2,75,030 L6 CT CTX Glut,68.1,1,20,10.4
Slc13a4,330 VLMC NN,65.3,65.0,1,75,121 MEA-BST Otp Zic2 Glut,1.3,0,20,0.4
Slc17a6,119 SI-MA-LPO-LHA Skor1 Glut,99.4,94.6,12,75,119 SI-MA-LPO-LHA Skor1 Glut,99.4,5,20,17.2
Slc17a7,001 CLA-EPd-CTX Car3 Glut,100.0,89.3,17,75,029 L6b CTX Glut,100.0,9,20,40.9
Slc29a4,058 PAL-STR Gaba-Chol,65.0,54.3,4,75,012 MEA Slc17a7 Glut,64.9,1,20,8.7
Slc32a1,066 NDB-SI-ant Prdm12 Gaba,100.0,50.6,37,75,074 MEA-BST Lhx6 Sp9 Gaba,98.7,7,20,30.7
Slc39a12,318 Astro-NT NN,97.0,95.1,2,75,120 MEA Otp Foxp2 Glut,46.1,0,20,14.5
Slc44a5,059 GPe-SI Sox6 Cyp26b1 Gaba,96.8,41.9,41,75,012 MEA Slc17a7 Glut,85.4,10,20,39.2
Slc6a3,044 OB Dopa-Gaba,22.8,22.7,0,75,082 CEA-BST Ebf1 Pdyn Gaba,4.6,0,20,0.6
Slfn5,333 Endo NN,81.6,81.1,2,75,022 L5 ET CTX Glut,1.0,0,20,2.4
Slit2,026 NLOT Rho Glut,100.0,61.2,30,75,052 Pvalb Gaba,94.1,13,20,42.4
Smad5,133 PVH-SO-PVa Otp Glut,79.4,45.2,9,75,119 SI-MA-LPO-LHA Skor1 Glut,54.5,1,20,30.4
Snap25,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,66,75,007 L2/3 IT CTX Glut,100.0,20,20,82.4
Sncg,047 Sncg Gaba,68.3,68.1,2,75,046 Vip Gaba,1.8,0,20,1.3
Sntb1,331 Peri NN,88.8,85.2,4,75,121 MEA-BST Otp Zic2 Glut,46.5,0,20,8.4
Sorcs3,083 CEA-BST Rai14 Pdyn Crh Gaba,100.0,19.9,55,75,004 L6 IT CTX Glut,98.6,17,20,63.3
Sox10,326 OPC NN,97.7,96.0,2,75,119 SI-MA-LPO-LHA Skor1 Glut,2.4,0,20,11.3
Sox11,077 CEA-BST Gal Avp Gaba,95.4,31.7,45,75,074 MEA-BST Lhx6 Sp9 Gaba,84.1,9,20,49.5
Sox12,133 PVH-SO-PVa Otp Glut,64.7,38.8,1,75,012 MEA Slc17a7 Glut,49.1,0,20,23.3
Sox17,333 Endo NN,75.5,75.3,1,75,052 Pvalb Gaba,0.5,0,20,1.6
Sox5,001 CLA-EPd-CTX Car3 Glut,99.5,70.2,29,75,004 L6 IT CTX Glut,96.3,10,20,56.3
Sox6,056 Sst Chodl Gaba,100.0,93.4,15,75,052 Pvalb Gaba,94.5,3,20,29.6
Sox8,326 OPC NN,86.0,80.7,6,75,007 L2/3 IT CTX Glut,50.1,1,20,29.8
Sp8,047 Sncg Gaba,70.2,69.8,2,75,073 MEA-BST Sox6 Gaba,31.6,0,20,3.8
Sp9,054 STR Prox1 Lhx6 Gaba,89.6,87.1,14,75,074 MEA-BST Lhx6 Sp9 Gaba,79.0,2,20,11.4
Spag16,121 MEA-BST Otp Zic2 Glut,15.5,13.0,0,75,121 MEA-BST Otp Zic2 Glut,15.5,0,20,3.5
Spi1,335 BAM NN,85.4,85.4,2,75,119 SI-MA-LPO-LHA Skor1 Glut,0.2,0,20,3.5
Spp1,330 VLMC NN,74.9,74.8,1,75,052 Pvalb Gaba,2.8,0,20,0.5
Sst,053 Sst Gaba,98.7,79.0,4,75,053 Sst Gaba,99.1,2,20,21.2
Sstr2,001 CLA-EPd-CTX Car3 Glut,96.6,79.4,6,75,120 MEA Otp Foxp2 Glut,62.4,2,20,20.8
Sstr4,013 COAp Grxcr2 Glut,3.3,3.1,0,75,022 L5 ET CTX Glut,1.4,0,20,0.4
Stard5,032 L5 NP CTX Glut,75.8,64.7,2,75,032 L5 NP CTX Glut,75.8,1,20,11.2
Stk40,026 NLOT Rho Glut,79.7,37.7,18,75,006 L4/5 IT CTX Glut,59.5,4,20,40.6
Strip2,026 NLOT Rho Glut,98.3,85.1,6,75,007 L2/3 IT CTX Glut,49.3,0,20,15.0
Syndig1,026 NLOT Rho Glut,97.6,54.6,33,75,006 L4/5 IT CTX Glut,89.4,8,20,38.1
Syndig1l,061 STR D1 Gaba,92.3,86.2,4,75,082 CEA-BST Ebf1 Pdyn Gaba,46.5,0,20,7.2
Synpr,001 CLA-EPd-CTX Car3 Glut,100.0,64.5,28,75,046 Vip Gaba,99.8,6,20,35.3
Syt17,003 L5/6 IT TPE-ENT Glut,95.6,78.1,20,75,007 L2/3 IT CTX Glut,91.9,7,20,26.6
Syt2,059 GPe-SI Sox6 Cyp26b1 Gaba,57.5,54.8,1,75,052 Pvalb Gaba,30.7,0,20,3.9
Syt6,030 L6 CT CTX Glut,91.7,80.9,9,75,030 L6 CT CTX Glut,91.7,1,20,19.9
Tac1,061 STR D1 Gaba,86.5,74.5,7,75,052 Pvalb Gaba,70.1,2,20,14.0
Tac2,088 BST Tac2 Gaba,80.4,78.8,2,75,046 Vip Gaba,47.7,0,20,3.5
Tacr1,058 PAL-STR Gaba-Chol,90.0,81.1,9,75,012 MEA Slc17a7 Glut,61.6,1,20,10.4
Tacr3,133 PVH-SO-PVa Otp Glut,61.0,58.2,3,75,082 CEA-BST Ebf1 Pdyn Gaba,30.1,0,20,5.6
Tanc1,013 COAp Grxcr2 Glut,90.0,76.9,9,75,012 MEA Slc17a7 Glut,66.3,1,20,20.1
Tbr1,030 L6 CT CTX Glut,96.6,93.3,18,75,030 L6 CT CTX Glut,96.6,9,20,31.1
Tcf7l2,318 Astro-NT NN,88.9,87.2,7,75,119 SI-MA-LPO-LHA Skor1 Glut,44.8,0,20,20.8
Th,044 OB Dopa-Gaba,57.0,56.8,1,75,052 Pvalb Gaba,11.3,0,20,1.2
Thsd7a,051 Pvalb chandelier Gaba,100.0,45.8,41,75,012 MEA Slc17a7 Glut,83.3,9,20,41.8
Thsd7b,088 BST Tac2 Gaba,98.6,49.4,36,75,030 L6 CT CTX Glut,91.8,11,20,43.9
Tiparp,013 COAp Grxcr2 Glut,70.0,46.8,7,75,012 MEA Slc17a7 Glut,55.8,1,20,26.9
Tle4,077 CEA-BST Gal Avp Gaba,100.0,41.9,44,75,029 L6b CTX Glut,98.9,12,20,60.0
Tmem132d,001 CLA-EPd-CTX Car3 Glut,99.7,29.6,49,75,004 L6 IT CTX Glut,96.6,17,20,62.6
Tmem163,001 CLA-EPd-CTX Car3 Glut,98.7,89.5,16,75,119 SI-MA-LPO-LHA Skor1 Glut,95.6,7,20,23.8
Tmem255a,077 CEA-BST Gal Avp Gaba,99.0,57.1,31,75,121 MEA-BST Otp Zic2 Glut,88.3,8,20,31.6
Tox,022 L5 ET CTX Glut,99.8,55.5,33,75,022 L5 ET CTX Glut,99.8,10,20,57.0
Trbc2,030 L6 CT CTX Glut,92.8,90.7,2,75,030 L6 CT CTX Glut,92.8,2,20,18.6
Trem2,334 Microglia NN,94.0,93.6,2,75,005 L5 IT CTX Glut,5.0,0,20,4.8
Trh,120 MEA Otp Foxp2 Glut,64.0,63.2,3,75,120 MEA Otp Foxp2 Glut,64.0,1,20,2.3
Trhr,037 DG Glut,89.7,80.2,9,75,012 MEA Slc17a7 Glut,87.3,4,20,16.0
Trp73,036 HPF CR Glut,94.0,93.7,2,75,119 SI-MA-LPO-LHA Skor1 Glut,3.5,0,20,0.9
Trpc4,059 GPe-SI Sox6 Cyp26b1 Gaba,92.5,49.1,33,75,052 Pvalb Gaba,86.5,10,20,33.9
Tshz2,084 BST-SI-AAA Six3 Slc22a3 Gaba,100.0,53.8,35,75,032 L5 NP CTX Glut,99.9,8,20,41.8
Tspan18,077 CEA-BST Gal Avp Gaba,77.4,74.1,1,75,119 SI-MA-LPO-LHA Skor1 Glut,26.8,0,20,6.1
Unc13c,121 MEA-BST Otp Zic2 Glut,99.0,61.6,30,75,121 MEA-BST Otp Zic2 Glut,99.0,8,20,35.1
Upk1b,079 CEA-BST Six3 Cyp26b1 Gaba,54.1,53.8,1,75,113 MEA-COA-BMA Ccdc42 Glut,17.6,0,20,3.5
Vat1l,133 PVH-SO-PVa Otp Glut,100.0,33.6,44,75,082 CEA-BST Ebf1 Pdyn Gaba,98.1,11,20,47.5
Vdr,082 CEA-BST Ebf1 Pdyn Gaba,11.2,10.7,0,75,082 CEA-BST Ebf1 Pdyn Gaba,11.2,0,20,1.2
Vip,046 Vip Gaba,88.3,86.5,1,75,046 Vip Gaba,92.9,1,20,6.3
Vipr2,051 Pvalb chandelier Gaba,43.1,42.6,0,75,082 CEA-BST Ebf1 Pdyn Gaba,8.2,0,20,1.8
Vps13a,133 PVH-SO-PVa Otp Glut,97.8,10.3,64,75,012 MEA Slc17a7 Glut,96.8,20,20,75.2
Vwc2l,032 L5 NP CTX Glut,97.1,70.6,20,75,032 L5 NP CTX Glut,97.1,2,20,24.1
Wfs1,081 ACB-BST-FS D1 Gaba,92.3,63.6,24,75,082 CEA-BST Ebf1 Pdyn Gaba,83.6,7,20,35.4
Zbtb25,077 CEA-BST Gal Avp Gaba,44.6,20.7,0,75,082 CEA-BST Ebf1 Pdyn Gaba,34.2,0,20,20.6
Zbtb40,058 PAL-STR Gaba-Chol,43.1,20.7,0,75,119 SI-MA-LPO-LHA Skor1 Glut,28.5,0,20,20.2
Zdbf2,133 PVH-SO-PVa Otp Glut,98.5,25.5,50,75,121 MEA-BST Otp Zic2 Glut,95.1,15,20,50.5
Zfp366,333 Endo NN,80.2,80.0,1,75,121 MEA-BST Otp Zic2 Glut,0.5,0,20,1.9
Zfp46,026 NLOT Rho Glut,74.1,52.3,3,75,012 MEA Slc17a7 Glut,54.6,1,20,24.1
Zfp536,050 Lamp5 Lhx6 Gaba,100.0,85.7,26,75,049 Lamp5 Gaba,99.6,6,20,26.2
Zfp580,026 NLOT Rho Glut,64.7,34.0,3,75,005 L5 IT CTX Glut,43.5,0,20,27.9
Zfp641,048 RHP-COA Ndnf Gaba,65.4,30.5,10,75,052 Pvalb Gaba,51.6,1,20,29.0
Zfp933,083 CEA-BST Rai14 Pdyn Crh Gaba,76.2,19.6,48,75,082 CEA-BST Ebf1 Pdyn Gaba,70.0,15,20,47.8
Zfpm2,013 COAp Grxcr2 Glut,100.0,66.0,20,75,012 MEA Slc17a7 Glut,99.7,5,20,50.9
Zhx2,013 COAp Grxcr2 Glut,83.3,50.2,9,75,012 MEA Slc17a7 Glut,79.4,1,20,36.7
Zic1,058 PAL-STR Gaba-Chol,98.8,97.5,8,75,121 MEA-BST Otp Zic2 Glut,69.7,1,20,4.5
Zic2,330 VLMC NN,78.7,78.6,4,75,121 MEA-BST Otp Zic2 Glut,60.6,2,20,3.8
Zkscan16,090 BST-MPN Six3 Nrgn Gaba,77.1,34.1,35,75,121 MEA-BST Otp Zic2 Glut,75.5,8,20,33.2
Zkscan2,330 VLMC NN,67.7,35.6,16,75,119 SI-MA-LPO-LHA Skor1 Glut,50.5,1,20,25.9
Adcyap1,026 NLOT Rho Glut,88.1,85.6,9,75,113 MEA-COA-BMA Ccdc42 Glut,84.5,5,20,16.2
Adra2a,001 CLA-EPd-CTX Car3 Glut,61.0,48.3,2,75,012 MEA Slc17a7 Glut,42.9,0,20,13.7
Adrb1,026 NLOT Rho Glut,84.3,44.8,20,75,005 L5 IT CTX Glut,80.6,7,20,36.7
Adrb2,335 BAM NN,50.7,50.5,1,75,032 L5 NP CTX Glut,5.1,0,20,2.6
Arhgap32,013 COAp Grxcr2 Glut,100.0,7.6,68,75,022 L5 ET CTX Glut,99.3,20,20,82.1
