region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Homer1,38,7.6923,100.0,False,False,-0.7785,8.4708,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Hsd11b1,38,0.1193,2.63,False,False,-1.0561,1.1754,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Htr2c,38,8.8856,100.0,False,False,-0.6959,9.5815,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Htr3a,38,0.0,0.0,False,False,-6.2354,6.2354,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ier2,38,0.8837,15.79,False,False,-0.7782,1.6619,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Isl1,38,0.0,0.0,False,False,-7.4368,7.4368,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Jun,38,6.4744,92.11,False,False,-1.0389,7.5133,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Junb,38,4.2415,65.79,False,False,-1.165,5.4065,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Krt9,38,0.1438,2.63,False,False,-2.9912,3.135,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lamp5,38,2.3548,39.47,False,False,-5.7098,8.0646,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lhx2,38,4.3918,73.68,False,False,-1.4493,5.8411,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lhx6,38,0.3001,5.26,False,False,-8.2192,8.5193,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lhx8,38,0.0,0.0,False,False,-7.4566,7.4566,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lratd2,38,0.1343,2.63,False,False,-2.1172,2.2515,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lrrtm2,38,3.9219,65.79,False,False,-2.7865,6.7084,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mafb,38,0.2756,5.26,False,False,-7.1016,7.3772,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Matn2,38,2.6928,47.37,False,False,-3.6947,6.3875,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mbp,38,4.1182,65.79,False,False,-2.5671,6.6853,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mc4r,38,0.2734,5.26,False,False,-3.0846,3.358,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Meis2,38,1.636,28.95,False,False,-9.7554,11.3914,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mgp,38,1.9668,34.21,False,False,-1.2448,3.2116,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Moxd1,38,0.1383,2.63,False,False,-8.9295,9.0678,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mpped1,38,1.5792,28.95,False,False,-6.8845,8.4637,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ms4a15,38,0.0,0.0,False,False,-0.0022,0.0022,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Myh8,38,0.0,0.0,False,False,-2.3278,2.3278,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ndnf,38,0.0,0.0,False,False,-10.6447,10.6447,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Neurod2,38,5.9616,86.84,False,False,-1.4837,7.4453,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Neurod6,38,2.7075,47.37,False,False,-0.7504,3.4579,,,False
