region,anchor,gene,in_panel_245,pct_expr,mean_log2_expr,specificity_log2_vs_other_anchors,rank_key,rank_within_anchor_all_genes,rank_within_anchor_panel_status
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Il1rapl2,False,64.40366972477064,6.4818619194380735,2.6879483700026063,4.496858984191788,14,10
BMAp,120 MEA Otp Foxp2 Glut,Stc1,False,89.1622340425532,6.213252940076463,4.145732124391849,6.0959130659878245,1,1
BMAp,120 MEA Otp Foxp2 Glut,Tafa1,False,90.625,9.386457727310505,4.101092286172117,6.058340305751167,2,2
BMAp,120 MEA Otp Foxp2 Glut,Sema3a,False,97.47340425531915,9.391542475274269,3.889723932530944,5.87861006658043,3,3
BMAp,120 MEA Otp Foxp2 Glut,Egfem1,False,98.80319148936171,9.834186310463764,3.4817445151450386,5.4765154883139715,5,4
BMAp,120 MEA Otp Foxp2 Glut,Spon1,False,95.67819148936171,7.431011443442487,3.1876201839904468,5.168433141671429,6,5
BMAp,120 MEA Otp Foxp2 Glut,Lancl3,False,61.10372340425532,3.688282418758311,2.8306185059810716,4.616686181111559,7,6
BMAp,120 MEA Otp Foxp2 Glut,Mdga1,False,81.9813829787234,5.713682134100732,2.67876302148868,4.592478261828788,8,7
BMAp,120 MEA Otp Foxp2 Glut,Plscr4,False,65.02659574468085,4.075056360123005,2.4979362341111453,4.3110272526431235,10,8
BMAp,120 MEA Otp Foxp2 Glut,Nefm,False,89.1622340425532,6.373911106840093,2.1971680789516466,4.1473490205476224,11,9
BMAp,120 MEA Otp Foxp2 Glut,AI593442,False,92.61968085106383,7.025821117644615,2.0300573006579175,3.9967605808262574,12,10
BMAp,121 MEA-BST Otp Zic2 Glut,Gm2694,False,53.22709163346614,3.399813247011952,3.0220921882162224,4.748224924874711,4,1
BMAp,121 MEA-BST Otp Zic2 Glut,Pcp4l1,False,85.33864541832669,5.875822102216135,2.6158947989830903,4.547040543997889,5,2
BMAp,121 MEA-BST Otp Zic2 Glut,Pcolce2,False,75.0597609561753,5.047793202191235,2.389306030423056,4.264713207398876,6,3
BMAp,121 MEA-BST Otp Zic2 Glut,Lrrc1,False,72.90836653386454,4.626347734063745,2.2140154572011266,4.076792825450518,7,4
BMAp,121 MEA-BST Otp Zic2 Glut,Zic4,False,50.677290836653384,3.232749859935259,2.312208226119319,4.017021615950676,8,5
BMAp,121 MEA-BST Otp Zic2 Glut,Sema6a,False,95.37848605577689,7.888460999750996,1.9536490027691045,3.9330994273584583,9,6
BMAp,121 MEA-BST Otp Zic2 Glut,Zfp521,False,75.45816733067728,5.142232631972112,2.0146766906140874,3.892382943800304,10,7
BMAp,121 MEA-BST Otp Zic2 Glut,Sntb1,False,46.45418326693227,3.218543793575697,2.0290184430085745,3.696043271950532,12,8
BMAp,121 MEA-BST Otp Zic2 Glut,Adamts17,False,74.02390438247012,5.081846053286853,1.7394222693149444,3.608794257491529,13,9
BMAp,121 MEA-BST Otp Zic2 Glut,Pde1c,False,59.04382470119522,4.156012279008964,1.784006249407473,3.5551807315697443,14,10
ORBm,004 L6 IT CTX Glut,Blnk,False,54.506967719174455,3.5814592205336284,2.5411207267920632,4.277572749225928,1,1
ORBm,004 L6 IT CTX Glut,Bmp3,False,77.35050273416829,5.247153566299576,2.337843531983284,4.226306672694373,2,2
ORBm,004 L6 IT CTX Glut,Plekha2,False,50.91726935967543,3.2794865533186446,1.9988429082448844,3.7057080130885645,5,3
ORBm,004 L6 IT CTX Glut,Galnt14,False,92.32668901040748,7.532282562646144,1.6470813760464535,3.6124086373593456,7,4
ORBm,004 L6 IT CTX Glut,Gm2694,False,66.21097195272534,4.224712956916888,1.7591596136613021,3.5800895768727363,8,5
ORBm,004 L6 IT CTX Glut,Chst11,False,86.01164226494973,6.279067672861381,1.6052997165329588,3.5398569564883333,9,6
ORBm,004 L6 IT CTX Glut,Gm6209,False,35.74704533427412,2.3463146564169395,1.9684941904824074,3.5217343415691493,10,7
ORBm,004 L6 IT CTX Glut,Bmpr1b,False,78.1442935261951,5.722693829713917,1.5542388928193036,3.447136162051403,12,8
ORBm,004 L6 IT CTX Glut,Car12,False,58.67877932615982,3.9407682821724985,1.6476333672456929,3.416114438036791,13,9
ORBm,004 L6 IT CTX Glut,Cdh9,False,90.51860998412418,7.42343529394893,1.3814648504638232,3.3382027267135967,14,10
ORBm,005 L5 IT CTX Glut,Cbln4,False,57.90902919212491,4.061026372907388,1.9734426337253428,3.736188918050235,1,1
ORBm,005 L5 IT CTX Glut,Man2a1,False,76.89522516406427,5.108558364733497,1.2686500400980414,3.154549413068775,2,2
ORBm,005 L5 IT CTX Glut,Ldlrad3,False,68.6806969902693,4.367702786268004,1.2332207556528525,3.0700554495018357,3,3
ORBm,005 L5 IT CTX Glut,Trps1,False,83.02783435166327,6.364670791893584,1.0169694058645247,2.9361931160581793,4,4
ORBm,005 L5 IT CTX Glut,Inf2,False,73.09346005883684,5.087430850389614,0.9966487476314931,2.8605272684003027,5,5
ORBm,005 L5 IT CTX Glut,Il17ra,False,63.56641774157049,4.024654794154757,1.0448593217741142,2.848087059413399,6,6
ORBm,005 L5 IT CTX Glut,Il1rapl2,False,83.68409142339895,7.150311447803077,0.860916746819572,2.7835596520804327,7,7
ORBm,005 L5 IT CTX Glut,Colq,False,39.33016519574564,2.4765823858036233,1.1580198470944387,2.752745617644793,8,8
ORBm,005 L5 IT CTX Glut,Sema3d,False,34.894772572980315,2.0833398787029513,1.158122216260419,2.700882588413064,10,9
ORBm,005 L5 IT CTX Glut,Npas2,False,96.17560534057479,7.456242984548147,0.6973103103709937,2.680375238859012,11,10
ORBm,006 L4/5 IT CTX Glut,Kcnh5,False,82.51130582249858,6.196750914733784,3.637589267323827,5.554102727630328,1,1
ORBm,006 L4/5 IT CTX Glut,Pdzrn3,False,94.94771057094404,8.008257411441404,1.7335589752819889,3.7110434725446724,3,2
ORBm,006 L4/5 IT CTX Glut,Nxpe4,False,82.73742227247033,5.867589524669658,1.5874378232538282,3.5051398093530723,5,3
ORBm,006 L4/5 IT CTX Glut,Tnnc1,False,53.490672696438665,3.5334322224773884,1.6617106142254685,3.3899886738238747,6,4
ORBm,006 L4/5 IT CTX Glut,Plxnd1,False,50.02119841718485,3.0366354037166787,1.6617918970590086,3.3609459894861917,7,5
ORBm,006 L4/5 IT CTX Glut,Ptgfrn,False,75.82673827020916,4.93460221018341,1.4178114053776243,3.2976337803445896,8,6
ORBm,006 L4/5 IT CTX Glut,Grm2,False,70.61899378179763,4.4431751654470215,1.4171987526343957,3.2661202778392973,9,7
ORBm,006 L4/5 IT CTX Glut,Ypel2,False,89.08281514980214,6.2539328515293775,1.2257962707467707,3.175590203678894,10,8
ORBm,006 L4/5 IT CTX Glut,Lemd1,False,45.45647258338044,2.7035465445337894,1.4911608526409017,3.148756584139603,11,9
ORBm,006 L4/5 IT CTX Glut,Krt12,False,71.98982475975127,4.595502112665171,1.2760037937148092,3.1332749101047197,12,10
ORBm,007 L2/3 IT CTX Glut,Ccbe1,False,74.54053444582253,5.2467606574925325,3.879084426237453,5.751476928500719,1,1
ORBm,007 L2/3 IT CTX Glut,Myh7,False,68.89164505581238,4.534317324349437,3.3292125867602884,5.167379142105144,2,2
ORBm,007 L2/3 IT CTX Glut,Evc2,False,58.0561506370504,3.611037299173071,2.9929604907234086,4.756808727652945,3,3
ORBm,007 L2/3 IT CTX Glut,Smoc2,False,82.613597925358,5.863919799956088,2.795610910932562,4.712662447573869,4,4
ORBm,007 L2/3 IT CTX Glut,Ankrd6,False,80.70808433870786,5.497393529059479,2.663399333747807,4.570316372904094,5,5
ORBm,007 L2/3 IT CTX Glut,Nectin3,False,85.89468936745969,6.096399129828198,2.51435830534778,4.448324618775009,6,6
ORBm,007 L2/3 IT CTX Glut,B230216N24Rik,False,86.68395535009584,6.188752130828214,2.452791415042377,4.3907301348051675,7,7
ORBm,007 L2/3 IT CTX Glut,Rfx3,False,95.140376592626,7.747714464284613,2.335784267680997,4.314149133829161,8,8
